BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0


290,3.48895732285403E-05,290,-2.2930941504552631E-06,290,0.00056473583793640138,290,89.999425799345971,290,0,290,90,290,0.00056,290,0.00057,290,-5.304,290,15.9936,290,0,290,0,290,0.0067806243896484375,290,90.0175952911377,290,-4.1963672794939182,290,-4.2837317659584988,290,90,290,0.001,290,15,290,14,290,34,290,125
300,-1.1844110253283234E-06,300,-2.8942497151058395E-06,300,0.00056439388465881349,300,89.999425799345971,300,0,300,90,300,0.00056,300,0.00057,300,-4.3248,300,15.912,300,0,300,0,300,0.007038116455078125,300,90.017509460449219,300,-4.196341461585722,300,-4.2837158748810626,300,90,300,0.001,300,15,300,14,300,34,300,136
310,-3.0388390616537198E-05,310,-1.1158585555923902E-06,310,0.0005640519313812256,310,89.999425799345971,310,0,310,90,310,0.00056,310,0.00057,310,-4.488,310,15.9936,310,0,310,0,310,0.006866455078125,310,90.017509460449219,310,-4.1963178897102242,310,-4.2837000318758482,310,90,310,0.001,310,15,310,14,310,34,310,146
320,-9.7345326134371268E-07,320,-3.0290348042695841E-06,320,0.00056439388465881349,320,89.999425799345971,320,0,320,90,320,0.00056,320,0.00057,320,-4.6512,320,15.9936,320,0,320,0,320,0.0071239471435546875,320,90.017337799072266,320,-4.1962962277692659,320,-4.2836851890741885,320,90,320,0.001,320,15,320,14,320,34,320,156
330,8.8221934156354072E-07,330,1.259206791259723E-05,330,0.00056439388465881349,330,89.999425970363617,330,0,330,90,330,0.00056,330,0.00057,330,-4.1615999999999991,330,15.9936,330,0,330,0,330,0.00652313232421875,330,90.017681121826172,330,-4.1962769322041851,330,-4.283670854051894,330,90,330,0.001,330,15,330,14,330,34,330,166
340,-1.4060617772798198E-05,340,1.0552065504238896E-05,340,0.00056422290802001949,340,89.999425970363617,340,0,340,90,340,0.00056,340,0.00057,340,-4.8144,340,15.9936,340,0,340,0,340,0.0067806243896484375,340,90.017423629760742,340,-4.1962597376896689,340,-4.2836567015217577,340,90,340,0.001,340,15,340,14,340,34,340,176
350,-1.3858773337546182E-05,350,-3.0034716261383276E-06,350,0.00056422290802001949,350,89.999425799345971,350,0,350,90,350,0.00056,350,0.00057,350,-4.3248,350,15.9936,350,0,350,0,350,0.006694793701171875,350,90.017509460449219,350,-4.1962435723634472,350,-4.2836416568852469,350,90,350,0.001,350,15,350,14,350,34,350,186
360,2.10179362357363E-06,360,-4.414278272250063E-06,360,0.00056439388465881349,360,89.999425799345971,360,0,360,90,360,0.00056,360,0.00057,360,-4.08,360,15.9936,360,0,360,0,360,0.0067806243896484375,360,90.0175952911377,360,-4.1962282743813795,360,-4.2836258648685943,360,90,360,0.001,360,15,360,14,360,34,360,196
370,-1.8246644867093279E-05,370,-3.4280289764262356E-06,370,0.00056422290802001949,370,89.999425799345971,370,0,370,90,370,0.00056,370,0.00057,370,-4.2432,370,16.0752,370,0,370,0,370,0.006866455078125,370,90.017766952514648,370,-4.1962135838319172,370,-4.28360998553584,370,90,370,0.001,370,15,370,14,370,34,370,206
380,-8.4309127455964222E-07,380,-3.7969075771041129E-06,380,0.00056439388465881349,380,89.999425799345971,380,0,380,90,380,0.00056,380,0.00057,380,-4.7328,380,16.0752,380,0,380,0,380,0.0071239471435546875,380,90.017681121826172,380,-4.1962017229511277,380,-4.2835942380021761,380,90,380,0.001,380,15,380,14,380,34,380,216
390,1.6166332854882563E-05,390,-1.4638722369366329E-06,390,0.00056456486129760738,390,89.999425799345971,390,0,390,90,390,0.00056,390,0.00057,390,-4.7328,390,15.9936,390,0,390,0,390,0.0067806243896484375,390,90.017681121826172,390,-4.1961939066896807,390,-4.2835797070974264,390,90,390,0.001,390,15,390,14,390,34,390,226
400,-1.7967858214144264E-05,400,-4.4744975413527828E-06,400,0.00056422290802001949,400,89.999425799345971,400,0,400,90,400,0.00056,400,0.00057,400,-4.4064,400,16.0752,400,0,400,0,400,0.006866455078125,400,90.017423629760742,400,-4.1961894834093849,400,-4.283567320638773,400,90,400,0.001,400,15,400,14,400,34,400,233
